Place,Payout,Field Size,Entry Fee
1,1000000,176470,20
2,100000,176470,20
3,40000,176470,20
4,25000,176470,20
5,20000,176470,20
6,15000,176470,20
7-8,10000,176470,20
9-10,7000,176470,20
11-15,5000,176470,20
16-20,3000,176470,20
21-30,2000,176470,20
31-40,1500,176470,20
41-55,1000,176470,20
56-70,750,176470,20
71-100,500,176470,20
101-150,400,176470,20
151-250,300,176470,20
251-500,200,176470,20
501-1000,150,176470,20
1001-2000,100,176470,20
2001-4000,75,176470,20
4001-8000,50,176470,20
8001-18000,40,176470,20
18001-38825,30,176470,20
