Team,Original file,Original format,Dimensions,Transparent bg,PNG file
Arizona Cardinals,arizona-cardinals.jpg,JPEG,625x587,no,arizona-cardinals.png
Atlanta Falcons,atlanta-falcons.webp,WEBP,800x800,yes,atlanta-falcons.png
Baltimore Ravens,baltimore-ravens.webp,WEBP,800x397,yes,baltimore-ravens.png
Buffalo Bills,buffalo-bills.webp,WEBP,800x584,yes,buffalo-bills.png
Carolina Panthers,carolina-panthers.webp,WEBP,800x437,yes,carolina-panthers.png
Chicago Bears,chicago-bears.webp,WEBP,800x544,yes,chicago-bears.png
Cincinnati Bengals,cincinnati-bengals.webp,WEBP,800x563,yes,cincinnati-bengals.png
Cleveland Browns,cleveland-browns.webp,WEBP,785x601,yes,cleveland-browns.png
Dallas Cowboys,dallas-cowboys.webp,WEBP,800x750,yes,dallas-cowboys.png
Denver Broncos,denver-broncos.webp,WEBP,786x468,yes,denver-broncos.png
Detroit Lions,detroit-lions.webp,WEBP,800x606,yes,detroit-lions.png
Green Bay Packers,green-bay-packers.jpg,JPEG,800x532,no,green-bay-packers.png
Houston Texans,houston-texans.webp,WEBP,761x693,yes,houston-texans.png
Indianapolis Colts,indianapolis-colts.webp,WEBP,734x776,yes,indianapolis-colts.png
Jacksonville Jaguars,jacksonville-jaguars.webp,WEBP,791x597,yes,jacksonville-jaguars.png
Kansas City Chiefs,kansas-city-chiefs.webp,WEBP,775x497,yes,kansas-city-chiefs.png
Las Vegas Raiders,las-vegas-raiders.webp,WEBP,683x747,yes,las-vegas-raiders.png
Los Angeles Chargers,los-angeles-chargers.webp,WEBP,783x362,yes,los-angeles-chargers.png
Los Angeles Rams,los-angeles-rams.webp,WEBP,761x555,yes,los-angeles-rams.png
Miami Dolphins,miami-dolphins.webp,WEBP,789x561,yes,miami-dolphins.png
Minnesota Vikings,minnesota-vikings.webp,WEBP,642x800,yes,minnesota-vikings.png
New England Patriots,new-england-patriots.webp,WEBP,800x391,yes,new-england-patriots.png
New Orleans Saints,new-orleans-saints.webp,WEBP,643x800,yes,new-orleans-saints.png
New York Giants,new-york-giants.webp,WEBP,771x611,yes,new-york-giants.png
New York Jets,new-york-jets.webp,WEBP,800x492,yes,new-york-jets.png
Philadelphia Eagles,philadelphia-eagles.webp,WEBP,1200x690,yes,philadelphia-eagles.png
Pittsburgh Steelers,pittsburgh-steelers.webp,WEBP,755x755,yes,pittsburgh-steelers.png
San Francisco 49Ers,san-francisco-49ers.webp,WEBP,790x471,yes,san-francisco-49ers.png
Seattle Seahawks,seattle-seahawks.webp,WEBP,766x344,yes,seattle-seahawks.png
Tampa Bay Buccaneers,tampa-bay-buccaneers.webp,WEBP,780x686,yes,tampa-bay-buccaneers.png
Tennessee Titans,tennessee-titans.webp,WEBP,800x567,yes,tennessee-titans.png
Washington Commanders,washington-commanders.webp,WEBP,776x432,yes,washington-commanders.png
